brand_id,colour
125,Black
125,Green
125,Navy Blue
125,Blue
125,Black
125,Blue
125,Red
125,Maroon
125,Green
125,Red
125,Red
125,White
125,Navy Blue
125,Pink
125,Mustard
125,Black
125,Yellow
125,Red
125,Pink
125,Pink
125,Multi
125,Maroon
125,White
125,Navy Blue
125,Black
125,Pink
125,Navy Blue
125,Black
125,White
125,Red
125,Red
125,Yellow
125,Green
125,Green
125,Maroon
125,Blue
125,White
125,Maroon
125,White
125,Yellow
125,Black
125,Black
125,Pink
125,Green
125,Red
125,Pink
126,Off White
126,Black
126,Yellow
126,Green
127,Grey
127,Black
127,Black
127,Orange
127,Mustard
128,Red
128,Red
128,Maroon
128,Black
128,Yellow
128,Black
128,Mustard
128,Yellow
129,Blue
129,White
130,White
130,Black
130,Purple
131,Blue
131,Black
131,White
131,White
131,Mustard
131,Mustard
131,Pink
131,Navy Blue
131,Yellow
131,Navy Blue
131,Maroon
131,Red
131,Mustard
131,Blue
131,Off White
131,Blue
131,Black
131,Black
131,Navy Blue
131,Black
131,Green
131,Red
131,Blue
131,Orange
131,Navy Blue
131,Red
131,Off White
131,Black
131,Mustard
131,White
131,Off White
131,Pink
131,Blue
131,Red
131,Red
131,Pink
131,Black
131,Peach
131,Off White
131,Red
131,Navy Blue
131,Mustard
131,Maroon
131,Navy Blue
131,Blue
131,Blue
131,Red
131,Purple
131,Red
131,Maroon
131,Orange
132,Blue
132,Pink
133,Pink
133,Pink
133,Yellow
133,Taupe
133,Yellow
133,Navy Blue
133,Orange
133,Pink
133,Beige
133,Pink
133,Rust
133,Off White
133,Pink
133,Blue
133,Blue
133,Yellow
133,Yellow
133,Cream
133,Beige
133,Pink
133,Blue
133,Mustard
133,Pink
133,Green
133,Maroon
133,Yellow
133,Grey
133,Mustard
133,White
133,Green
133,Navy Blue
133,Off White
133,Peach
133,Turquoise Blue
133,White
133,Red
133,Blue
133,Red
133,Black
133,Black
133,Teal
133,Pink
133,Green
133,Off White
133,Red
133,Turquoise Blue
133,Pink
133,Yellow
133,Blue
133,Pink
133,Off White
133,Navy Blue
133,Green
133,Beige
133,Peach
133,Off White
133,Off White
133,Coral
133,Mauve
133,Grey
133,Navy Blue
133,White
133,Green
133,Blue
133,Orange
133,Coral
133,Red
133,Assorted
133,Yellow
133,Beige
133,Black
133,Off White
133,Yellow
133,Teal
133,White
133,Red
133,Sea Green
133,Beige
133,Blue
133,Blue
133,Blue
133,Blue
133,Red
133,Off White
133,Mustard
133,Navy Blue
133,Pink
133,Burgundy
133,White
133,White
133,Red
133,Off White
133,Orange
133,Peach
133,Yellow
133,Black
133,White
133,Blue
133,Cream
133,Black
133,Turquoise Blue
133,Teal
133,Maroon
133,Yellow
133,Red
133,Beige
133,Green
133,Red
133,Coral
133,Peach
134,White
134,Grey
134,Blue
135,Pink
135,Pink
135,Pink
135,Pink
135,Peach
135,White
135,Black
135,Purple
135,Green
135,Black
135,Red
135,Black
135,Pink
135,Maroon
135,Fuchsia
135,Green
135,Green
135,Red
135,Green
135,Turquoise Blue
135,Pink
135,Off White
135,Pink
135,Peach
135,Yellow
135,Pink
135,Pink
135,Maroon
135,Lime Green
135,Off White
136,Olive
136,Grey
136,Black
136,Grey
136,Green
136,Black
136,Navy Blue
136,White
136,White
136,Off White
136,Pink
136,White
136,Navy Blue
136,Peach
137,Red
138,Black
138,Black
138,Rust
138,Blue
139,Mustard
139,Brown
140,Navy Blue
141,Mustard
141,Red
141,Pink
141,Orange
141,Yellow
141,Blue
141,Black
141,Pink
141,Pink
141,Pink
141,Red
142,Yellow
142,Navy Blue
142,Blue
142,Yellow
143,Blue
143,Black
144,Yellow
144,Magenta
144,Yellow
145,Blue
146,Purple
146,Mustard
146,White
146,Pink
146,Sea Green
146,Green
146,Green
146,Pink
147,Maroon
147,Brown
147,Burgundy
147,White
147,Black
147,Beige
147,Navy Blue
147,Green
147,Maroon
147,Blue
147,White
147,Black
147,Black
147,Multi
147,Black
147,Brown
147,Multi
147,Red
147,Brown
147,Brown
147,Blue
147,Green
147,Pink
147,Navy Blue
147,Navy Blue
147,Blue
147,Blue
147,Black
147,Maroon
147,Black
147,Grey
147,Brown
147,Pink
147,Green
147,Brown
147,Black
147,Fluorescent Green
147,Pink
147,Grey
147,Red
147,Blue
147,White
147,Black
147,Blue
147,Black
147,Pink
147,Yellow
147,Black
147,Blue
147,White
147,Red
147,Brown
147,Blue
147,Red
147,Blue
147,Black
147,Mustard
147,Purple
147,Purple
147,Navy Blue
147,White
147,Grey
147,Green
147,Red
147,Multi
147,Blue
147,Black
147,Beige
147,Green
147,Blue
147,Blue
147,Peach
147,Khaki
147,Black
147,Brown
147,Black
147,Blue
147,Black
147,Yellow
147,Black
147,Multi
147,Black
147,Black
147,Navy Blue
147,Pink
147,Black
147,Black
147,White
147,Black
147,Green
147,Orange
147,Beige
147,Beige
147,Beige
147,Green
147,Navy Blue
148,Off White
148,Rose
149,Red
149,Orange
149,Multi
149,Purple
149,Multi
149,Red
149,Red
149,Red
149,Navy Blue
149,Purple
150,White
150,Olive
150,Navy Blue
150,Black
151,Black
151,Burgundy
151,Pink
151,Black
151,Red
151,Navy Blue
151,Grey
151,Blue
151,Pink
151,Pink
151,Black
151,Grey
151,Olive
151,Grey
151,Maroon
151,Blue
151,Peach
151,Black
151,Olive
151,Grey
151,Black
151,Black
151,Black
151,Black
151,Navy Blue
152,Grey
152,Green
152,Green
152,White
152,Beige
152,Sea Green
152,Cream
152,Off White
152,Cream
152,Black
152,Green
152,Red
152,Blue
153,Beige
153,Navy Blue
153,Navy Blue
153,Mustard
153,Green
153,Pink
153,Khaki
153,Black
153,Blue
153,White
153,Black
154,Lavender
155,Green
155,Blue
155,Black
155,Coffee Brown
155,Beige
156,Blue
156,Purple
156,White
156,Pink
156,Beige
156,Black
156,Brown
156,Brown
156,Beige
156,Maroon
156,Blue
156,Blue
156,Red
156,Black
156,Black
156,Green
156,Blue
156,Blue
156,Blue
156,Blue
156,Navy Blue
156,Navy Blue
157,Grey
157,Blue
158,Red
159,Blue
159,Blue
159,Blue
159,Blue
159,Blue
159,Blue
160,White
160,Red
160,Green
160,Green
160,Maroon
161,Red
162,Blue
162,Brown
162,Grey
162,Lavender
162,Black
162,Beige
162,Black
162,Pink
162,Lavender
162,Black
162,Blue
162,Blue
162,Black
162,Grey
162,Maroon
162,Maroon
162,Green
162,Brown
162,Grey
162,Maroon
162,Grey Melange
162,Maroon
162,Blue
162,Navy Blue
162,Mustard
162,Black
162,Tan
162,Maroon
162,Navy Blue
162,Grey
162,Cream
162,Black
162,Grey
162,Grey
162,Blue
162,Grey
162,Peach
162,Black
162,White
162,Mustard
162,Black
162,Black
162,Navy Blue
162,Blue
162,Pink
162,Black
162,Navy Blue
162,Pink
162,Navy Blue
162,Black
162,Blue
162,Black
162,Black
162,Olive
162,Maroon
162,Brown
162,Navy Blue
162,Blue
162,Navy Blue
162,Black
162,Charcoal
162,Mustard
162,Brown
162,Orange
162,Blue
162,Mustard
163,Rose
163,Blue
164,Red
164,Off White
164,Off White
164,Navy Blue
164,Blue
164,Navy Blue
165,Sea Green
165,Green
165,Green
165,Black
165,Black
166,Blue
166,Multi
166,Red
166,White
166,Nude
166,Navy Blue
166,Black
166,White
166,Blue
166,Red
166,Maroon
166,White
167,Black
167,Maroon
167,Maroon
167,Yellow
167,Beige
167,Navy Blue
167,Rust
167,Red
167,Green
167,Mustard
167,Orange
167,Navy Blue
167,Black
167,Red
167,Mustard
167,Charcoal
168,Blue
168,Orange
168,Orange
169,Navy Blue
169,Maroon
169,Peach
169,Maroon
169,Brown
169,Violet
169,Maroon
169,Black
169,Pink
169,Pink
169,Green
169,Maroon
169,Green
170,Grey
170,White
170,Yellow
170,Blue
170,White
170,Blue
170,Blue
170,White
170,Red
170,Green
170,White
170,Peach
170,Yellow
170,Violet
170,Green
170,Magenta
170,Blue
170,Blue
170,Beige
170,White
170,Teal
170,Beige
170,Magenta
170,Maroon
170,Magenta
170,Beige
170,Black
170,Grey
170,Green
170,Green
170,Magenta
170,Red
170,Violet
170,Teal
170,Green
170,Magenta
170,White
171,Blue
171,Blue
171,Blue
171,Blue
171,Brown
171,Blue
171,Black
171,Olive
171,Charcoal
171,Maroon
171,Black
171,Blue
171,Blue
171,Black
171,Black
171,Gold
171,Navy Blue
171,Brown
171,Blue
171,Navy Blue
171,Navy Blue
171,Mustard
171,Navy Blue
171,Brown
171,Maroon
171,Teal
171,Brown
171,Navy Blue
171,Olive
171,Grey
171,Navy Blue
171,White
171,Black
171,Olive
171,Black
171,Red
171,Blue
171,Grey
171,Grey
171,Teal
171,Mustard
171,Blue
171,Mustard
172,Pink
172,Red
172,Green
172,Blue
172,Blue
172,Blue
172,Blue
172,Pink
173,Beige
173,Burgundy
173,Black
173,Pink
173,Sea Green
173,Grey
173,Pink
173,Green
173,Mustard
173,Cream
173,Green
173,Yellow
173,Mustard
173,Yellow
173,Orange
173,Burgundy
173,Peach
173,Black
173,Magenta
173,Blue
173,Teal
173,Navy Blue
173,Blue
173,Maroon
173,Yellow
173,Maroon
173,Mustard
173,Mustard
173,Green
173,Sea Green
173,Pink
173,Lime Green
173,Green
173,Red
173,Grey
173,Purple
173,Peach
173,Lime Green
173,Green
173,Mustard
173,Yellow
173,Mustard
173,Mustard
173,Pink
173,Fuchsia
173,Pink
173,Green
173,Pink
173,Burgundy
173,Peach
173,Maroon
173,Peach
174,Blue
174,Pink
175,Pink
176,Black
176,Beige
176,Black
176,Blue
176,Multi
176,Black
176,Green
176,Multi
176,Multi
176,Multi
176,Multi
176,Multi
176,Grey
176,Grey Melange
176,Blue
176,Blue
176,Multi
176,Grey
176,Black
176,Black
176,Black
176,Magenta
176,Beige
176,Purple
176,Pink
176,Green
176,Blue
176,Blue
176,Pink
176,Green
176,Olive
176,Camel Brown
176,Olive
176,Black
